,Posición,Jugador,Equipo,Partidos,Asistencias
0,1,Mesut Özil,Arsenal,35,19
1,2,Christian Eriksen,Tottenham Hotspur,35,13
2,3,Dusan Tadic,Southampton,34,12
3,,Dimitri Payet,West Ham United,30,12
4,5,Riyad Mahrez,Leicester City,37,11
5,,James Milner,Liverpool,28,11
6,,David Silva,Manchester City,25,11
7,8,Erik Lamela,Tottenham Hotspur,34,9
8,,Dele Alli,Tottenham Hotspur,33,9
9,,Kevin De Bruyne,Manchester City,25,9
10,11,Ross Barkley,Everton,38,8
11,,Wes Hoolahan,Norwich City,30,8
12,,Gerard Deulofeu,Everton,26,8
13,14,Troy Deeney,Watford,38,7
14,,Moussa Sissoko,Newcastle United,37,7
15,,Cesc Fàbregas,Chelsea,37,7
16,,Danny Drinkwater,Leicester City,35,7
17,,Jesús Navas,Manchester City,34,7
18,,Roberto Firmino,Liverpool,31,7
19,20,Marc Albrighton,Leicester City,38,6
20,,Olivier Giroud,Arsenal,38,6
21,,Romelu Lukaku,Everton,37,6
22,,Matt Ritchie,AFC Bournemouth,37,6
23,,Sadio Mané,Southampton,37,6
24,,Jamie Vardy,Leicester City,36,6
25,,Willian,Chelsea,35,6
26,,Marko Arnautovic,Stoke City,34,6
27,,Graziano Pellè,Southampton,30,6
28,,Adam Lallana,Liverpool,30,6
29,,Diego Costa,Chelsea,28,6
30,,Wayne Rooney,Manchester United,28,6
31,,Xherdan Shaqiri,Stoke City,27,6
32,33,Georginio Wijnaldum,Newcastle United,38,5
33,,Juan Mata,Manchester United,38,5
34,,Charlie Daniels,AFC Bournemouth,37,5
35,,Héctor Bellerín,Arsenal,36,5
36,,Yaya Touré,Manchester City,32,5
37,,Jonjo Shelvey,Newcastle United,31,5
38,,Philippe Coutinho,Liverpool,26,5
39,,Jordan Veretout,Aston Villa,25,5
40,,Adam Johnson,Sunderland,19,5
41,42,Simon Francis,AFC Bournemouth,38,4
42,,Aaron Cresswell,West Ham United,37,4
43,,Mark Noble,West Ham United,37,4
44,,Yann M'vila,Sunderland,37,4
45,,N'Golo Kanté,Leicester City,37,4
46,,Jonathan Howson,Norwich City,36,4
47,,Aleksandar Mitrovic,Newcastle United,34,4
48,,James Ward-Prowse,Southampton,33,4
49,,Daryl Janmaat,Newcastle United,32,4
