,Posición,Jugador,Equipo,Partidos,Asistencias
0,1,Mohamed Salah,Liverpool,35,13
1,2,Trent Alexander-Arnold,Liverpool,32,12
2,3,Jarrod Bowen,West Ham United,36,10
3,,Mason Mount,Chelsea,32,10
4,,Harvey Barnes,Leicester City,32,10
5,,Andrew Robertson,Liverpool,29,10
6,7,Harry Kane,Tottenham Hotspur,37,9
7,,Reece James,Chelsea,26,9
8,,Paul Pogba,Manchester United,20,9
9,10,Michail Antonio,West Ham United,36,8
10,,Son Heung-Min,Tottenham Hotspur,35,8
11,,James Maddison,Leicester City,35,8
12,,Kevin De Bruyne,Manchester City,30,8
13,,Gabriel Jesus,Manchester City,28,8
14,,Dejan Kulusevski,Tottenham Hotspur,18,8
15,16,Bukayo Saka,Arsenal,38,7
16,,João Cancelo,Manchester City,36,7
17,,Bryan Mbeumo,Brentford,35,7
18,,Alexandre Lacazette,Arsenal,30,7
19,20,Bruno Fernandes,Manchester United,36,6
20,,Emiliano Buendía,Aston Villa,35,6
21,,Lucas Moura,Tottenham Hotspur,34,6
22,,Emmanuel Dennis,Watford,33,6
23,,Saïd Benrahma,West Ham United,32,6
24,,Danny Ings,Aston Villa,30,6
25,,Gabriel Martinelli,Arsenal,29,6
26,27,James Ward-Prowse,Southampton,36,5
27,,Allan Saint-Maximin,Newcastle United,35,5
28,,Jordan Henderson,Liverpool,35,5
29,,Ivan Toney,Brentford,33,5
30,,Richarlison,Everton,30,5
31,,Raheem Sterling,Manchester City,30,5
32,,Phil Foden,Manchester City,28,5
33,,Riyad Mahrez,Manchester City,28,5
34,,Kiko Femenía,Watford,27,5
35,,Nathan Redmond,Southampton,27,5
36,,Kelechi Iheanacho,Leicester City,26,5
37,,Michael Olise,Crystal Palace,26,5
38,,Mateo Kovacic,Chelsea,25,5
39,40,Declan Rice,West Ham United,36,4
40,,Martin Ødegaard,Arsenal,36,4
41,,John McGinn,Aston Villa,35,4
42,,Christian Nørgaard,Brentford,35,4
43,,Bernardo Silva,Manchester City,35,4
44,,Diogo Jota,Liverpool,35,4
45,,Raúl Jiménez,Wolverhampton Wanderers,34,4
46,,Daniel James,Leeds United,34,4
47,,Demarai Gray,Everton,34,4
48,,Youri Tielemans,Leicester City,32,4
49,,Abdoulaye Doucouré,Everton,30,4
