,Posición,Jugador,Equipo,Partidos,Asistencias
0,1,Eden Hazard,Chelsea,37,15
1,2,Ryan Fraser,AFC Bournemouth,38,14
2,3,Christian Eriksen,Tottenham Hotspur,35,12
3,,Trent Alexander-Arnold,Liverpool,29,12
4,5,Andrew Robertson,Liverpool,36,11
5,6,Raheem Sterling,Manchester City,34,10
6,,Leroy Sané,Manchester City,31,10
7,8,Paul Pogba,Manchester United,35,9
8,,Callum Wilson,AFC Bournemouth,30,9
9,10,Mohamed Salah,Liverpool,38,8
10,,João Moutinho,Wolverhampton Wanderers,38,8
11,,Matt Ritchie,Newcastle United,36,8
12,,Alexandre Lacazette,Arsenal,35,8
13,,Sergio Agüero,Manchester City,33,8
14,,David Silva,Manchester City,33,8
15,16,Raúl Jiménez,Wolverhampton Wanderers,38,7
16,,Bernardo Silva,Manchester City,36,7
17,,James Maddison,Leicester City,36,7
18,,Ashley Westwood,Burnley,34,7
19,,Salomón Rondón,Newcastle United,32,7
20,21,Gylfi Sigurdsson,Everton,38,6
21,,James McArthur,Crystal Palace,38,6
22,,Ricardo Pereira,Leicester City,35,6
23,,Abdoulaye Doucouré,Watford,35,6
24,,Ryan Sessegnon,Fulham,35,6
25,,Alex Iwobi,Arsenal,35,6
26,,Roberto Firmino,Liverpool,34,6
27,,Marcus Rashford,Manchester United,33,6
28,,Willian,Chelsea,32,6
29,,Son Heung-Min,Tottenham Hotspur,31,6
30,,Anthony Knockaert,Brighton & Hove Albion,30,6
31,,Jóhann Gudmundsson,Burnley,29,6
32,,José Holebas,Watford,28,6
33,,Aaron Ramsey,Arsenal,28,6
34,35,César Azpilicueta,Chelsea,38,5
35,,Matt Doherty,Wolverhampton Wanderers,38,5
36,,Pierre-Emerick Aubameyang,Arsenal,36,5
37,,Solly March,Brighton & Hove Albion,35,5
38,,Wilfried Zaha,Crystal Palace,34,5
39,,Diogo Jota,Wolverhampton Wanderers,33,5
40,,Robert Snodgrass,West Ham United,33,5
41,,Troy Deeney,Watford,32,5
42,,Mark Noble,West Ham United,31,5
43,,David Brooks,AFC Bournemouth,30,5
44,,Gerard Deulofeu,Watford,30,5
45,,Ross Barkley,Chelsea,27,5
46,,Sead Kolasinac,Arsenal,24,5
47,,Dwight McNeil,Burnley,21,5
48,,Héctor Bellerín,Arsenal,19,5
49,,Benjamin Mendy,Manchester City,10,5
