,Posición,Jugador,Equipo,Partidos,Asistencias
0,1,Kevin De Bruyne,Manchester City,32,16
1,2,Mohamed Salah,Liverpool,38,13
2,3,Leandro Trossard,Arsenal,36,12
3,4,Bukayo Saka,Arsenal,38,11
4,,Michael Olise,Crystal Palace,37,11
5,,Riyad Mahrez,Manchester City,30,11
6,7,Trent Alexander-Arnold,Liverpool,37,10
7,8,Bryan Mbeumo,Brentford,38,9
8,,Pascal Groß,Brighton & Hove Albion,37,9
9,,Morgan Gibbs-White,Nottingham Forest,37,9
10,,James Maddison,Leicester City,30,9
11,12,Bruno Fernandes,Manchester United,37,8
12,,Martin Ødegaard,Arsenal,37,8
13,,Granit Xhaka,Arsenal,37,8
14,,Erling Haaland,Manchester City,35,8
15,,Andrew Robertson,Liverpool,34,8
16,,Ivan Perisic,Tottenham Hotspur,34,8
17,,Solly March,Brighton & Hove Albion,33,8
18,,Christian Eriksen,Manchester United,28,8
19,20,Alex Iwobi,Everton,38,7
20,,Kieran Trippier,Newcastle United,38,7
21,,Jack Harrison,Leeds United,36,7
22,,Jacob Ramsey,Aston Villa,35,7
23,,Dominic Solanke,AFC Bournemouth,33,7
24,,Dejan Kulusevski,Tottenham Hotspur,30,7
25,,Jack Grealish,Manchester City,28,7
26,27,Ollie Watkins,Aston Villa,37,6
27,,Douglas Luiz,Aston Villa,37,6
28,,Mathias Jensen,Brentford,37,6
29,,Rodri,Manchester City,36,6
30,,Son Heung-Min,Tottenham Hotspur,36,6
31,,Joe Willock,Newcastle United,35,6
32,,Andreas Pereira,Fulham,33,6
33,,Kaoru Mitoma,Brighton & Hove Albion,33,6
34,,Phil Foden,Manchester City,32,6
35,,Kelechi Iheanacho,Leicester City,28,6
36,,Willian,Fulham,27,6
37,,Gabriel Jesus,Arsenal,26,6
38,39,James Ward-Prowse,Southampton,38,5
39,,Jarrod Bowen,West Ham United,38,5
40,,Ben White,Arsenal,38,5
41,,Eberechi Eze,Crystal Palace,38,5
42,,Gabriel Martinelli,Arsenal,36,5
43,,Pierre-Emile Højbjerg,Tottenham Hotspur,35,5
44,,Marcus Rashford,Manchester United,35,5
45,,Pervis Estupiñán,Brighton & Hove Albion,35,5
46,,Bernardo Silva,Manchester City,34,5
47,,Bruno Guimarães,Newcastle United,32,5
48,,Kenny Tete,Fulham,31,5
49,,Callum Wilson,Newcastle United,31,5
