,Posicion,Jugador,Equipo,Partidos,Goles
0,1,Mohamed Salah,Liverpool,38,22
1,,Sadio Mané,Liverpool,36,22
2,,Pierre-Emerick Aubameyang,Arsenal,36,22
3,4,Sergio Agüero,Manchester City,33,21
4,5,Jamie Vardy,Leicester City,34,18
5,6,Raheem Sterling,Manchester City,34,17
6,,Harry Kane,Tottenham Hotspur,28,17
7,8,Eden Hazard,Chelsea,37,16
8,9,Callum Wilson,AFC Bournemouth,30,14
9,10,Gylfi Sigurdsson,Everton,38,13
10,,Raúl Jiménez,Wolverhampton Wanderers,38,13
11,,Glenn Murray,Brighton & Hove Albion,38,13
12,,Paul Pogba,Manchester United,35,13
13,,Richarlison,Everton,35,13
14,,Alexandre Lacazette,Arsenal,35,13
15,16,Luka Milivojevic,Crystal Palace,38,12
16,,Ayoze Pérez,Newcastle United,37,12
17,,Ashley Barnes,Burnley,37,12
18,,Joshua King,AFC Bournemouth,35,12
19,,Roberto Firmino,Liverpool,34,12
20,,Romelu Lukaku,Manchester United,32,12
21,,Son Heung-Min,Tottenham Hotspur,31,12
22,23,Aleksandar Mitrovic,Fulham,37,11
23,,Salomón Rondón,Newcastle United,32,11
24,25,Chris Wood,Burnley,38,10
25,,Wilfried Zaha,Crystal Palace,34,10
26,,Marcus Rashford,Manchester United,33,10
27,,Lucas Moura,Tottenham Hotspur,32,10
28,,Leroy Sané,Manchester City,31,10
29,,Gerard Deulofeu,Watford,30,10
30,,Marko Arnautovic,West Ham United,28,10
31,,Anthony Martial,Manchester United,27,10
32,33,Felipe Anderson,West Ham United,36,9
33,,Diogo Jota,Wolverhampton Wanderers,33,9
34,,Troy Deeney,Watford,32,9
35,36,Christian Eriksen,Tottenham Hotspur,35,8
36,,Pedro,Chelsea,31,8
37,38,Ryan Fraser,AFC Bournemouth,38,7
38,,Bernardo Silva,Manchester City,36,7
39,,James Maddison,Leicester City,36,7
40,,David Brooks,AFC Bournemouth,30,7
41,,Andre Gray,Watford,29,7
42,,Gabriel Jesus,Manchester City,29,7
43,,Riyad Mahrez,Manchester City,27,7
44,,James Ward-Prowse,Southampton,26,7
45,,Javier Hernández,West Ham United,25,7
46,,Danny Ings,Southampton,24,7
47,48,Nathan Redmond,Southampton,38,6
48,,Andros Townsend,Crystal Palace,38,6
49,,Dominic Calvert-Lewin,Everton,35,6
