,Posicion,Jugador,Equipo,Partidos,Goles
0,1,Erling Haaland,Manchester City,31,27
1,2,Cole Palmer,Chelsea,34,22
2,3,Alexander Isak,Newcastle United,30,21
3,4,Dominic Solanke,AFC Bournemouth,38,19
4,,Ollie Watkins,Aston Villa,37,19
5,,Phil Foden,Manchester City,35,19
6,7,Mohamed Salah,Liverpool,32,18
7,8,Son Heung-Min,Tottenham Hotspur,35,17
8,9,Bukayo Saka,Arsenal,35,16
9,,Jean-Philippe Mateta,Crystal Palace,35,16
10,,Jarrod Bowen,West Ham United,34,16
11,12,Nicolas Jackson,Chelsea,35,14
12,,Chris Wood,Nottingham Forest,31,14
13,14,Kai Havertz,Arsenal,37,13
14,15,Yoane Wissa,Brentford,34,12
15,,Leandro Trossard,Arsenal,34,12
16,,Matheus Cunha,Wolverhampton Wanderers,32,12
17,,Hwang Hee-Chan,Wolverhampton Wanderers,29,12
18,19,Carlton Morris,Luton Town,38,11
19,,Julián Álvarez,Manchester City,36,11
20,,Darwin Núñez,Liverpool,36,11
21,,Anthony Gordon,Newcastle United,35,11
22,,Richarlison,Tottenham Hotspur,28,11
23,,Eberechi Eze,Crystal Palace,27,11
24,25,Bruno Fernandes,Manchester United,35,10
25,,Leon Bailey,Aston Villa,35,10
26,,Rasmus Højlund,Manchester United,30,10
27,,Elijah Adebayo,Luton Town,27,10
28,,Diogo Jota,Liverpool,21,10
29,,Michael Olise,Crystal Palace,19,10
30,31,Douglas Luiz,Aston Villa,35,9
31,,João Pedro,Brighton & Hove Albion,31,9
32,,Rodrigo Muniz,Fulham,26,9
33,,Bryan Mbeumo,Brentford,25,9
34,,Callum Wilson,Newcastle United,20,9
35,36,Luis Díaz,Liverpool,37,8
36,,Dejan Kulusevski,Tottenham Hotspur,36,8
37,,Martin Ødegaard,Arsenal,35,8
38,,Cody Gakpo,Liverpool,35,8
39,,Rodri,Manchester City,34,8
40,,Mohammed Kudus,West Ham United,33,8
41,,Antoine Semenyo,AFC Bournemouth,33,8
42,,Raheem Sterling,Chelsea,31,8
43,,Callum Hudson-Odoi,Nottingham Forest,29,8
44,45,Declan Rice,Arsenal,38,7
45,,Bruno Guimarães,Newcastle United,37,7
46,,James Ward-Prowse,West Ham United,37,7
47,,Tomás Soucek,West Ham United,37,7
48,,Alejandro Garnacho,Manchester United,36,7
49,,Marcus Rashford,Manchester United,33,7
