,Posicion,Jugador,Equipo,Partidos,Goles
0,1,Mohamed Salah,Liverpool,36,32
1,2,Harry Kane,Tottenham Hotspur,37,30
2,3,Sergio Agüero,Manchester City,25,21
3,4,Jamie Vardy,Leicester City,37,20
4,5,Raheem Sterling,Manchester City,33,18
5,6,Romelu Lukaku,Manchester United,34,16
6,7,Roberto Firmino,Liverpool,37,15
7,8,Alexandre Lacazette,Arsenal,32,14
8,9,Gabriel Jesus,Manchester City,29,13
9,10,Son Heung-Min,Tottenham Hotspur,37,12
10,,Riyad Mahrez,Leicester City,36,12
11,,Glenn Murray,Brighton & Hove Albion,35,12
12,,Eden Hazard,Chelsea,34,12
13,14,Marko Arnautovic,West Ham United,31,11
14,,Álvaro Morata,Chelsea,31,11
15,16,Christian Eriksen,Tottenham Hotspur,37,10
16,,Luka Milivojevic,Crystal Palace,36,10
17,,Leroy Sané,Manchester City,32,10
18,,Wayne Rooney,Everton,31,10
19,,Sadio Mané,Liverpool,29,10
20,,Chris Wood,Burnley,24,10
21,,Pierre-Emerick Aubameyang,Arsenal,13,10
22,23,Dele Alli,Tottenham Hotspur,36,9
23,,Ashley Barnes,Burnley,36,9
24,,Alexis Sánchez,Manchester United,31,9
25,,Anthony Martial,Manchester United,30,9
26,,Wilfried Zaha,Crystal Palace,29,9
27,,David Silva,Manchester City,29,9
28,29,Kevin De Bruyne,Manchester City,37,8
29,,Xherdan Shaqiri,Stoke City,36,8
30,,Ayoze Pérez,Newcastle United,36,8
31,,Joshua King,AFC Bournemouth,33,8
32,,Jesse Lingard,Manchester United,33,8
33,,Callum Wilson,AFC Bournemouth,28,8
34,,Javier Hernández,West Ham United,28,8
35,,Oumar Niasse,Everton,22,8
36,37,Pascal Groß,Brighton & Hove Albion,38,7
37,,Abdoulaye Doucouré,Watford,37,7
38,,Jay Rodríguez,West Bromwich Albion,37,7
39,,Jordan Ayew,Swansea City,36,7
40,,Salomón Rondón,West Bromwich Albion,36,7
41,,Marcus Rashford,Manchester United,35,7
42,,Marcos Alonso,Chelsea,33,7
43,,Olivier Giroud,Chelsea,29,7
44,,Steve Mounié,Huddersfield Town,28,7
45,,Aaron Ramsey,Arsenal,24,7
46,,Charlie Austin,Southampton,24,7
47,,Philippe Coutinho,Liverpool,14,7
48,49,Dusan Tadic,Southampton,36,6
49,,Willian,Chelsea,36,6
