,Posicion,Jugador,Equipo,Partidos,Goles
0,1,Harry Kane,Tottenham Hotspur,30,29
1,2,Romelu Lukaku,Everton,37,25
2,3,Alexis Sánchez,Arsenal,38,24
3,4,Diego Costa,Chelsea,35,20
4,,Sergio Agüero,Manchester City,31,20
5,6,Dele Alli,Tottenham Hotspur,37,18
6,7,Zlatan Ibrahimovic,Manchester United,28,17
7,8,Eden Hazard,Chelsea,36,16
8,,Joshua King,AFC Bournemouth,36,16
9,10,Jermain Defoe,Sunderland,37,15
10,,Christian Benteke,Crystal Palace,36,15
11,,Fernando Llorente,Swansea City,33,15
12,13,Son Heung-Min,Tottenham Hotspur,34,14
13,14,Jamie Vardy,Leicester City,35,13
14,,Philippe Coutinho,Liverpool,31,13
15,,Sadio Mané,Liverpool,27,13
16,17,Olivier Giroud,Arsenal,29,12
17,18,Roberto Firmino,Liverpool,35,11
18,19,Troy Deeney,Watford,37,10
19,,Sam Vokes,Burnley,37,10
20,,Theo Walcott,Arsenal,28,10
21,22,Gylfi Sigurdsson,Swansea City,38,9
22,,Álvaro Negredo,Middlesbrough,36,9
23,,Pedro,Chelsea,35,9
24,,Andre Gray,Burnley,32,9
25,,Michail Antonio,West Ham United,29,9
26,27,Salomón Rondón,West Bromwich Albion,38,8
27,,Christian Eriksen,Tottenham Hotspur,36,8
28,,Manuel Lanzini,West Ham United,35,8
29,,Willian,Chelsea,34,8
30,,Mesut Özil,Arsenal,33,8
31,,Adam Lallana,Liverpool,31,8
32,33,Étienne Capoue,Watford,37,7
33,,Nathan Redmond,Southampton,37,7
34,,James Milner,Liverpool,36,7
35,,Wilfried Zaha,Crystal Palace,35,7
36,,Robert Snodgrass,West Ham United,35,7
37,,Divock Origi,Liverpool,34,7
38,,Raheem Sterling,Manchester City,33,7
39,,Peter Crouch,Stoke City,27,7
40,,Islam Slimani,Leicester City,23,7
41,,Junior Stanislas,AFC Bournemouth,21,7
42,,Andy Carroll,West Ham United,18,7
43,,Gabriel Jesus,Manchester City,10,7
44,45,Gary Cahill,Chelsea,37,6
45,,Gareth McAuley,West Bromwich Albion,36,6
46,,Georginio Wijnaldum,Liverpool,36,6
47,,Kevin De Bruyne,Manchester City,36,6
48,,Joe Allen,Stoke City,36,6
49,,Riyad Mahrez,Leicester City,36,6
