,Posicion,Jugador,Equipo,Partidos,Goles
0,1,Erling Haaland,Manchester City,35,36
1,2,Harry Kane,Tottenham Hotspur,38,30
2,3,Ivan Toney,Brentford,33,20
3,4,Mohamed Salah,Liverpool,38,19
4,5,Callum Wilson,Newcastle United,31,18
5,6,Marcus Rashford,Manchester United,35,17
6,7,Martin Ødegaard,Arsenal,37,15
7,,Ollie Watkins,Aston Villa,37,15
8,,Gabriel Martinelli,Arsenal,36,15
9,10,Bukayo Saka,Arsenal,38,14
10,,Aleksandar Mitrovic,Fulham,24,14
11,12,Harvey Barnes,Leicester City,34,13
12,,Rodrigo,Leeds United,31,13
13,14,Miguel Almirón,Newcastle United,34,11
14,,Phil Foden,Manchester City,32,11
15,,Gabriel Jesus,Arsenal,26,11
16,,Roberto Firmino,Liverpool,25,11
17,18,Eberechi Eze,Crystal Palace,38,10
18,,Son Heung-Min,Tottenham Hotspur,36,10
19,,Alexis Mac Allister,Brighton & Hove Albion,35,10
20,,James Maddison,Leicester City,30,10
21,,Taiwo Awoniyi,Nottingham Forest,27,10
22,,Alexander Isak,Newcastle United,22,10
23,24,James Ward-Prowse,Southampton,38,9
24,,Bryan Mbeumo,Brentford,38,9
25,,Pascal Groß,Brighton & Hove Albion,37,9
26,,Julián Álvarez,Manchester City,31,9
27,,Darwin Núñez,Liverpool,29,9
28,29,Brennan Johnson,Nottingham Forest,38,8
29,,Bruno Fernandes,Manchester United,37,8
30,,Leandro Trossard,Arsenal,36,8
31,,Danny Ings,West Ham United,35,8
32,,Ilkay Gündogan,Manchester City,31,8
33,34,Yoane Wissa,Brentford,38,7
34,,Granit Xhaka,Arsenal,37,7
35,,Philip Billing,AFC Bournemouth,36,7
36,,Dwight McNeil,Everton,36,7
37,,Kai Havertz,Chelsea,35,7
38,,Solly March,Brighton & Hove Albion,33,7
39,,Kaoru Mitoma,Brighton & Hove Albion,33,7
40,,Kevin De Bruyne,Manchester City,32,7
41,,Wilfried Zaha,Crystal Palace,27,7
42,,Diogo Jota,Liverpool,22,7
43,,Cody Gakpo,Liverpool,21,7
44,45,Jarrod Bowen,West Ham United,38,6
45,,Douglas Luiz,Aston Villa,37,6
46,,Rúben Neves,Wolverhampton Wanderers,35,6
47,,Jacob Ramsey,Aston Villa,35,6
48,,Saïd Benrahma,West Ham United,35,6
49,,Dominic Solanke,AFC Bournemouth,33,6
