,Posicion,Jugador,Equipo,Partidos,Goles
0,1,Sergio Agüero,Manchester City,33,26
1,2,Harry Kane,Tottenham Hotspur,34,21
2,3,Diego Costa,Chelsea,26,20
3,4,Charlie Austin,Queens Park Rangers,35,18
4,5,Alexis Sánchez,Arsenal,35,16
5,6,Eden Hazard,Chelsea,38,14
6,,Saido Berahino,West Bromwich Albion,38,14
7,,Olivier Giroud,Arsenal,27,14
8,9,Christian Benteke,Aston Villa,29,13
9,10,Graziano Pellè,Southampton,38,12
10,,Wayne Rooney,Manchester United,33,12
11,,David Silva,Manchester City,32,12
12,13,Leonardo Ulloa,Leicester City,37,11
13,,Danny Ings,Burnley,35,11
14,,Nacer Chadli,Tottenham Hotspur,35,11
15,,Mame Biram Diouf,Stoke City,34,11
16,,Wilfried Bony,Manchester City,30,11
17,,Papiss Cissé,Newcastle United,22,11
18,19,Christian Eriksen,Tottenham Hotspur,38,10
19,,Romelu Lukaku,Everton,36,10
20,,Sadio Mané,Southampton,30,10
21,,Yaya Touré,Manchester City,29,10
22,,Robin van Persie,Manchester United,27,10
23,,Diafra Sakho,West Ham United,23,10
24,25,Juan Mata,Manchester United,33,9
25,,Steven Gerrard,Liverpool,29,9
26,27,Ki Sung-Yueng,Swansea City,33,8
27,,Peter Crouch,Stoke City,33,8
28,,Jonathan Walters,Stoke City,32,8
29,,Nikica Jelavic,Hull City,27,8
30,31,Santi Cazorla,Arsenal,37,7
31,,Ayoze Pérez,Newcastle United,36,7
32,,Raheem Sterling,Liverpool,35,7
33,,Gylfi Sigurdsson,Swansea City,32,7
34,,Bafetimbi Gomis,Swansea City,31,7
35,,Charlie Adam,Stoke City,29,7
36,,Kevin Mirallas,Everton,29,7
37,,Loïc Rémy,Chelsea,21,7
38,,Glenn Murray,Crystal Palace,17,7
39,40,Stewart Downing,West Ham United,37,6
40,,Jordan Henderson,Liverpool,37,6
41,,Jason Puncheon,Crystal Palace,37,6
42,,Gabriel Agbonlahor,Aston Villa,35,6
43,,Frank Lampard,Manchester City,32,6
44,,Steven Naismith,Everton,31,6
45,,Leroy Fer,Queens Park Rangers,29,6
46,,Aaron Ramsey,Arsenal,29,6
47,,Oscar,Chelsea,28,6
48,,Marouane Fellaini,Manchester United,27,6
49,,Ander Herrera,Manchester United,26,6
