,Posicion,Jugador,Equipo,Partidos,Goles
0,1,Mohamed Salah,Liverpool,33,27
1,2,Alexander Isak,Newcastle United,31,22
2,3,Erling Haaland,Manchester City,28,21
3,4,Chris Wood,Nottingham Forest,31,19
4,5,Bryan Mbeumo,Brentford,33,18
5,6,Yoane Wissa,Brentford,30,16
6,7,Ollie Watkins,Aston Villa,34,15
7,,Matheus Cunha,Wolverhampton Wanderers,29,15
8,9,Cole Palmer,Chelsea,33,14
9,,Jean-Philippe Mateta,Crystal Palace,33,14
10,11,Jørgen Strand Larsen,Wolverhampton Wanderers,32,13
11,12,Liam Delap,Ipswich Town,33,12
12,,Justin Kluivert,AFC Bournemouth,29,12
13,14,Luis Díaz,Liverpool,32,11
14,,Brennan Johnson,Tottenham Hotspur,30,11
15,16,Raúl Jiménez,Fulham,34,10
16,,Nicolas Jackson,Chelsea,28,10
17,,João Pedro,Brighton & Hove Albion,27,10
18,19,Alex Iwobi,Fulham,34,9
19,,Kaoru Mitoma,Brighton & Hove Albion,33,9
20,,Jarrod Bowen,West Ham United,30,9
21,,James Maddison,Tottenham Hotspur,30,9
22,,Harvey Barnes,Newcastle United,29,9
23,,Danny Welbeck,Brighton & Hove Albion,27,9
24,,Evanilson,AFC Bournemouth,26,9
25,,Kai Havertz,Arsenal,21,9
26,27,Leandro Trossard,Arsenal,34,8
27,,Morgan Rogers,Aston Villa,33,8
28,,Antoine Semenyo,AFC Bournemouth,32,8
29,,Bruno Fernandes,Manchester United,32,8
30,,Tomás Soucek,West Ham United,31,8
31,,Jacob Murphy,Newcastle United,31,8
32,,Rodrigo Muniz,Fulham,31,8
33,,Cody Gakpo,Liverpool,30,8
34,35,Ismaïla Sarr,Crystal Palace,34,7
35,,Kevin Schade,Brentford,33,7
36,,Jamie Vardy,Leicester City,32,7
37,,Dango Ouattara,AFC Bournemouth,30,7
38,,Dejan Kulusevski,Tottenham Hotspur,29,7
39,,Iliman Ndiaye,Everton,29,7
40,,Gabriel Martinelli,Arsenal,29,7
41,,Son Heung-Min,Tottenham Hotspur,28,7
42,,Noni Madueke,Chelsea,28,7
43,,Phil Foden,Manchester City,25,7
44,,Dominic Solanke,Tottenham Hotspur,24,7
45,,Jhon Durán,Aston Villa,20,7
46,47,Anthony Elanga,Nottingham Forest,33,6
47,,Anthony Gordon,Newcastle United,30,6
48,,Emile Smith Rowe,Fulham,30,6
49,,Mateo Kovacic,Manchester City,28,6
