,Posición,Jugador,Equipo,Partidos,Asistencias
0,1,Cesc Fàbregas,Chelsea,34,18
1,2,Santi Cazorla,Arsenal,37,11
2,3,Chris Brunt,West Bromwich Albion,34,10
3,,Gylfi Sigurdsson,Swansea City,32,10
4,,Ángel Di María,Manchester United,27,10
5,6,Eden Hazard,Chelsea,38,9
6,,Jordan Henderson,Liverpool,37,9
7,,Leighton Baines,Everton,31,9
8,9,Stewart Downing,West Ham United,37,8
9,,Alexis Sánchez,Arsenal,35,8
10,,Jesús Navas,Manchester City,35,8
11,,Jamie Vardy,Leicester City,34,8
12,,Sergio Agüero,Manchester City,33,8
13,,Oscar,Chelsea,28,8
14,,Matt Phillips,Queens Park Rangers,25,8
15,16,Jason Puncheon,Crystal Palace,37,7
16,,Raheem Sterling,Liverpool,35,7
17,,Erik Lamela,Tottenham Hotspur,33,7
18,,David Silva,Manchester City,32,7
19,,James Milner,Manchester City,32,7
20,,Dusan Tadic,Southampton,31,7
21,,Jefferson Montero,Swansea City,30,7
22,23,Daryl Janmaat,Newcastle United,37,6
23,,Jack Colback,Newcastle United,35,6
24,,Yannick Bolasie,Crystal Palace,34,6
25,,Aaron Ramsey,Arsenal,29,6
26,,James Ward-Prowse,Southampton,25,6
27,,Samir Nasri,Manchester City,24,6
28,29,Ahmed Elmohamady,Hull City,38,5
29,,Branislav Ivanovic,Chelsea,38,5
30,,Romelu Lukaku,Everton,36,5
31,,Charlie Austin,Queens Park Rangers,35,5
32,,Philippe Coutinho,Liverpool,35,5
33,,Nacer Chadli,Tottenham Hotspur,35,5
34,,Wayne Rooney,Manchester United,33,5
35,,Shane Long,Southampton,32,5
36,,Jonjo Shelvey,Swansea City,31,5
37,,Marko Arnautovic,Stoke City,29,5
38,,Patrick van Aanholt,Sunderland,28,5
39,,Ashley Young,Manchester United,26,5
40,,Mesut Özil,Arsenal,22,5
41,,Leandro Bacuna,Aston Villa,19,5
42,43,Aaron Cresswell,West Ham United,38,4
43,,Kieran Trippier,Burnley,38,4
44,,Danny Ings,Burnley,35,4
45,,Craig Gardner,West Bromwich Albion,35,4
46,,Harry Kane,Tottenham Hotspur,34,4
47,,Juan Mata,Manchester United,33,4
48,,Jonathan Walters,Stoke City,32,4
49,,Ryan Mason,Tottenham Hotspur,31,4
