,Posición,Jugador,Equipo,Partidos,Asistencias
0,1,Kevin De Bruyne,Manchester City,35,20
1,2,Trent Alexander-Arnold,Liverpool,38,13
2,3,Andrew Robertson,Liverpool,36,12
3,4,Mohamed Salah,Liverpool,34,10
4,,Son Heung-Min,Tottenham Hotspur,30,10
5,,David Silva,Manchester City,27,10
6,7,Adama Traoré,Wolverhampton Wanderers,37,9
7,,Riyad Mahrez,Manchester City,33,9
8,9,Roberto Firmino,Liverpool,38,8
9,,Harvey Barnes,Leicester City,36,8
10,11,Willian,Chelsea,36,7
11,,Emiliano Buendía,Norwich City,36,7
12,,Lucas Digne,Everton,35,7
13,,Sadio Mané,Liverpool,35,7
14,,Bernardo Silva,Manchester City,34,7
15,,Gabriel Jesus,Manchester City,34,7
16,,Marcus Rashford,Manchester United,31,7
17,,Bruno Fernandes,Manchester United,14,7
18,19,Dwight McNeil,Burnley,38,6
19,,Raúl Jiménez,Wolverhampton Wanderers,38,6
20,,João Moutinho,Wolverhampton Wanderers,38,6
21,,Youri Tielemans,Leicester City,37,6
22,,César Azpilicueta,Chelsea,36,6
23,,Ashley Westwood,Burnley,35,6
24,,Daniel James,Manchester United,33,6
25,,Anthony Martial,Manchester United,32,6
26,,Nicolas Pépé,Arsenal,31,6
27,28,Mason Mount,Chelsea,37,5
28,,Jack Grealish,Aston Villa,36,5
29,,Pablo Fornals,West Ham United,36,5
30,,Jamie Vardy,Leicester City,35,5
31,,Sèrge Aurier,Tottenham Hotspur,33,5
32,,Jordan Henderson,Liverpool,30,5
33,,Gerard Deulofeu,Watford,28,5
34,,Conor Hourihane,Aston Villa,27,5
35,,Bukayo Saka,Arsenal,26,5
36,,Robert Snodgrass,West Ham United,24,5
37,,Callum Hudson-Odoi,Chelsea,22,5
38,39,Enda Stevens,Sheffield United,38,4
39,,Aaron Wan-Bissaka,Manchester United,35,4
40,,Lucas Moura,Tottenham Hotspur,35,4
41,,Anwar El Ghazi,Aston Villa,34,4
42,,Ayoze Pérez,Leicester City,33,4
43,,Nathan Redmond,Southampton,32,4
44,,Alexandre Lacazette,Arsenal,30,4
45,,Lys Mousset,Sheffield United,30,4
46,,Kyle Walker,Manchester City,29,4
47,,Pascal Groß,Brighton & Hove Albion,29,4
48,,Ryan Fraser,AFC Bournemouth,28,4
49,,Ismaïla Sarr,Watford,28,4
