,Posición,Jugador,Equipo,Partidos,Asistencias
0,1,Mohamed Salah,Liverpool,33,18
1,2,Jacob Murphy,Newcastle United,30,11
2,3,Antonee Robinson,Fulham,33,10
3,,Mikkel Damsgaard,Brentford,33,10
4,,Anthony Elanga,Nottingham Forest,33,10
5,,Bukayo Saka,Arsenal,21,10
6,7,Ollie Watkins,Aston Villa,34,9
7,,Bruno Fernandes,Manchester United,32,9
8,,Son Heung-Min,Tottenham Hotspur,28,9
9,10,Morgan Rogers,Aston Villa,33,8
10,,Cole Palmer,Chelsea,32,8
11,,Eberechi Eze,Crystal Palace,30,8
12,,Savinho,Manchester City,27,8
13,14,Youri Tielemans,Aston Villa,34,7
14,,Declan Rice,Arsenal,32,7
15,,Elliot Anderson,Nottingham Forest,32,7
16,,Morgan Gibbs-White,Nottingham Forest,29,7
17,,Kevin De Bruyne,Manchester City,24,7
18,19,Bryan Mbeumo,Brentford,33,6
19,,Bruno Guimarães,Newcastle United,33,6
20,,Rayan Aït-Nouri,Wolverhampton Wanderers,32,6
21,,Enzo Fernández,Chelsea,31,6
22,,Pedro Porro,Tottenham Hotspur,31,6
23,,Adama Traoré,Fulham,31,6
24,,Alexander Isak,Newcastle United,30,6
25,,James Maddison,Tottenham Hotspur,30,6
26,,Jean-Ricner Bellegarde,Wolverhampton Wanderers,30,6
27,,Trent Alexander-Arnold,Liverpool,29,6
28,,Justin Kluivert,AFC Bournemouth,29,6
29,,Nicolas Jackson,Chelsea,27,6
30,,João Pedro,Brighton & Hove Albion,27,6
31,,Martin Ødegaard,Arsenal,26,6
32,,Amad,Manchester United,22,6
33,34,Leandro Trossard,Arsenal,34,5
34,,Milos Kerkez,AFC Bournemouth,33,5
35,,Alex Iwobi,Fulham,33,5
36,,Luis Díaz,Liverpool,32,5
37,,Ilkay Gündogan,Manchester City,30,5
38,,Jarrod Bowen,West Ham United,29,5
39,,Anthony Gordon,Newcastle United,29,5
40,,Gabriel Martinelli,Arsenal,29,5
41,,Jérémy Doku,Manchester City,25,5
42,,Marcus Tavernier,AFC Bournemouth,24,5
43,,Matheus Nunes,Manchester City,23,5
44,,Dwight McNeil,Everton,16,5
45,46,Tyrick Mitchell,Crystal Palace,34,4
46,,Ismaïla Sarr,Crystal Palace,34,4
47,,Daniel Muñoz,Crystal Palace,33,4
48,,Antoine Semenyo,AFC Bournemouth,32,4
49,,Alexis Mac Allister,Liverpool,32,4
