,Posición,Jugador,Equipo,Partidos,Asistencias
0,1,Kevin De Bruyne,Manchester City,36,18
1,2,Christian Eriksen,Tottenham Hotspur,36,15
2,3,Gylfi Sigurdsson,Swansea City,38,13
3,4,Cesc Fàbregas,Chelsea,29,12
4,5,Alexis Sánchez,Arsenal,38,10
5,6,Georginio Wijnaldum,Liverpool,36,9
6,,Wilfried Zaha,Crystal Palace,35,9
7,,Pedro,Chelsea,35,9
8,,Mesut Özil,Arsenal,33,9
9,10,Ross Barkley,Everton,36,8
10,,Matt Phillips,West Bromwich Albion,27,8
11,12,Dele Alli,Tottenham Hotspur,37,7
12,,Diego Costa,Chelsea,35,7
13,,Roberto Firmino,Liverpool,35,7
14,,Nemanja Matic,Chelsea,35,7
15,,David Silva,Manchester City,34,7
16,,Adam Lallana,Liverpool,31,7
17,,Philippe Coutinho,Liverpool,31,7
18,,Harry Kane,Tottenham Hotspur,30,7
19,,Alex Oxlade-Chamberlain,Arsenal,29,7
20,21,Romelu Lukaku,Everton,37,6
21,,Kevin Mirallas,Everton,35,6
22,,Son Heung-Min,Tottenham Hotspur,34,6
23,,Raheem Sterling,Manchester City,33,6
24,,Marc Albrighton,Leicester City,33,6
25,,Ander Herrera,Manchester United,31,6
26,,Anthony Martial,Manchester United,25,6
27,,Dimitri Payet,West Ham United,18,6
28,29,Adam Smith,AFC Bournemouth,36,5
29,,Jason Puncheon,Crystal Palace,36,5
30,,Eden Hazard,Chelsea,36,5
31,,Jamie Vardy,Leicester City,35,5
32,,Robert Snodgrass,West Ham United,35,5
33,,Kyle Walker,Tottenham Hotspur,33,5
34,,Dusan Tadic,Southampton,33,5
35,,Marko Arnautovic,Stoke City,32,5
36,,Nacer Chadli,West Bromwich Albion,31,5
37,,Zlatan Ibrahimovic,Manchester United,28,5
38,,Ryan Fraser,AFC Bournemouth,28,5
39,,Sadio Mané,Liverpool,27,5
40,,Wayne Rooney,Manchester United,25,5
41,,Junior Stanislas,AFC Bournemouth,21,5
42,,Kieran Trippier,Tottenham Hotspur,12,5
43,44,César Azpilicueta,Chelsea,38,4
44,,Troy Deeney,Watford,37,4
45,,Christian Fuchs,Leicester City,36,4
46,,Álvaro Negredo,Middlesbrough,36,4
47,,Andros Townsend,Crystal Palace,36,4
48,,Harry Arter,AFC Bournemouth,35,4
49,,José Holebas,Watford,33,4
