,Commodity Group,Commodity,Op.,IMO,Vessel,Port,Arrived at Port,Sailed from Port,Berth,Tons,Coord.,Destination / Origin,Time at Port,Time at Berth,Shipper
31115,Grains,Maize,load,9505493,SHENG HENG HAI,Rosario - Argentina,2021-05-15 22:36:00,2021-05-17 22:35:00,ADM AGRO Arroyo Seco,34070.0,ADM,Egypt,2.0,1.0,ADM Agro
31116,Grains,Maize,load,9790828,MAJESTIC ISLAND,Rosario - Argentina,2021-05-17 22:24:00,2021-05-18 21:22:00,Unit 7,41023.0,A.Maggi,Taiwan,0.96,0.6,AMaggi
31117,Grains,Maize,load,9801287,BUNUN NOBLE,Rosario - Argentina,2021-05-16 06:36:00,2021-05-21 18:40:00,Punta Alvear,29881.25,Cargill,Brazil,5.5,2.97,Cargill
31118,Grains,Maize,load,9707651,VALENTIN BUTUZOV,Rosario - Argentina,2021-05-16 23:28:00,2021-05-22 01:15:00,ADM AGRO Arroyo Seco,36265.0,ADM,Algeria,5.07,4.02,ADM Agro
31119,Grains,Wheat,load,9576739,ECO TIDE,Rosario - Argentina,2021-05-19 20:00:00,2021-05-23 21:50:00,Unit 6,26740.0,Gavilon,Brazil,4.08,2.26,ADM Agro
31121,Grains,Maize,load,9342865,NAVIOS SUN,Rosario - Argentina,2021-05-19 20:54:00,2021-05-24 15:20:00,Punta Alvear,31670.73,Cargill,Taiwan,4.77,2.76,Cargill
31122,Grains,Maize,load,9342865,NAVIOS SUN,Rosario - Argentina,2021-05-19 20:54:00,2021-05-24 15:20:00,Punta Alvear,10000.0,Cargill,Taiwan,4.77,2.76,YPF
31123,Grains,Maize,load,9436654,KMAX VISION,Rosario - Argentina,2021-05-23 17:48:00,2021-05-27 16:25:00,Punta Alvear,9900.15,Enerfo,Indonesia,3.94,0.43,Cargill
31124,Grains,Maize,load,9368845,METEORA,Rosario - Argentina,2021-05-23 14:40:00,2021-05-25 15:50:00,Gral.Lagos,32930.0,Dreyfus,Japan,2.05,1.51,Dreyfus
31125,Grains,Maize,load,9649043,AFRICAN WAGTAIL,Rosario - Argentina,2021-05-19 08:12:00,2021-05-27 17:10:00,ADM AGRO Arroyo Seco,37540.0,Graneles Chile,Chile,8.37,1.88,ADM Agro
31127,Grains,Wheat,load,9070565,MARCOS DIAS,Rosario - Argentina,2021-05-25 00:06:00,2021-05-28 17:45:00,Punta Alvear,32929.35,Macedo,Brazil,3.74,1.36,Cargill
31128,Grains,Wheat,load,9672234,EMERALD CONFIDENCE,Rosario - Argentina,2021-05-21 01:53:00,2021-05-28 18:28:00,ADM AGRO Arroyo Seco,30000.0,Olam,Angola,7.69,0.98,ADM Agro
31129,Grains,Sorghum,load,9719537,STAR CAPOEIRA,Rosario - Argentina,2021-05-27 15:40:00,2021-05-29 16:55:00,Unit 7,41608.0,Bunge,China,2.05,1.77,A.Maggi
31130,Grains,Maize,load,9817559,SIRIUS SKY,Rosario - Argentina,2021-05-27 12:18:00,2021-05-30 00:05:00,Punta Alvear,36811.38,Cargill,Brazil,2.49,1.18,Cargill
31131,Grains,Maize,load,9310410,ORIENT BEAUTY,Rosario - Argentina,2021-05-30 13:00:00,2021-05-31 22:30:00,ADM AGRO Arroyo Seco,40575.0,ADM,Japan,1.4,0.99,ADM Agro
31132,Grains,Maize,load,9643178,SUN VIL II,Rosario - Argentina,2021-05-28 20:30:00,2021-06-02 16:10:00,ADM AGRO Arroyo Seco,35740.0,ADM,Algeria,4.82,1.65,ADM Agro
31134,Grains,Maize,load,9621039,LILA CASABLANCA,Rosario - Argentina,2021-06-02 16:35:00,2021-06-03 20:20:00,ADM AGRO Arroyo Seco,30850.0,ADM,Brazil,1.16,0.83,ADM Agro
31135,Grains,Maize flint,load,9458250,ULUSOY 8,Rosario - Argentina,2021-06-02 19:00:00,2021-06-04 15:30:00,Punta Alvear,4556.77,ETG Commodities,Spain,1.85,0.52,ACA
31136,Grains,Maize,load,9774264,NAVIOS CORAL,Rosario - Argentina,2021-06-04 10:14:00,2021-06-05 20:35:00,ADM AGRO Arroyo Seco,46000.0,Olam,South Korea,1.43,1.36,ADM Agro
31137,Grains,Maize,load,9529619,LBC NATURE,Rosario - Argentina,2021-05-31 13:30:00,2021-06-05 22:30:00,Unit 7,44945.0,Sierentz,Vietnam,5.38,2.63,ACA
31138,Grains,Maize,load,9591155,FYLA,Rosario - Argentina,2021-06-05 09:17:00,2021-06-07 00:50:00,Punta Alvear,43227.56,Cargill,South Korea,1.65,1.58,Cargill
31139,Grains,Maize,load,9623752,NORD CAPELLA,Rosario - Argentina,2021-06-05 05:40:00,2021-06-08 01:35:00,ADM AGRO Arroyo Seco,18000.0,Enerfo,Indonesia,2.83,1.16,ADM Agro
