,Commodity Group,Commodity,Op.,IMO,Vessel,Port,Arrived at Port,Sailed from Port,Berth,Tons,Coord.,Destination / Origin,Time at Port,Time at Berth,Shipper
3,Chemical products,Sulfuric Acid,discharge,9279111,MTM TOKYO,San Lorenzo - Argentina,2017-01-21 19:00:00,2017-01-23 13:20:00,T.F.A.,1171.242,ACA,Spain,1.76,1.77,
4,Chemical products,Sulfuric Acid,discharge,9279111,MTM TOKYO,San Lorenzo - Argentina,2017-01-21 19:00:00,2017-01-23 13:20:00,T.F.A.,6259.727,Bunge,Spain,1.76,1.77,
5,Chemical products,Nash,load,9724099,BIRDIE TRADER,San Lorenzo - Argentina,2017-01-22 08:54:00,2017-02-02 16:50:00,Nouryon Chemicals Argentina,2241.832,Akzo Nobel,Chile,11.33,1.74,Akzo Nobel
9,Chemical products,Styrene,discharge,9523835,RT STAR,San Lorenzo - Argentina,2017-02-22 00:00:00,2017-02-23 21:15:00,Pampa Energia,2883.812,Pampa Energía SA,Netherlands,1.89,1.59,
10,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-02-24 00:00:00,2017-02-26 23:15:00,Pampa Energia,2502.173,Dow Chemicals,Brazil,2.97,0.89,
11,Chemical products,Caustic Soda,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-02-24 00:00:00,2017-02-26 23:15:00,Nouryon Chemicals Argentina,2084.753,Akzo Nobel,Brazil,2.97,0.72,
12,Chemical products,Nash,load,9477531,SHAMROCK MERCURY,San Lorenzo - Argentina,2017-03-11 01:40:00,2017-03-15 00:00:00,Nouryon Chemicals Argentina,2000.018,Akzo Nobel,Chile,3.93,0.82,Akzo Nobel
13,Chemical products,Styrene,load,9737101,BRISTOL TRADER,San Lorenzo - Argentina,2017-03-21 00:00:00,2017-03-23 15:15:00,Pampa Energia,3302.39,Tycoon Energy Inc.,Netherlands,2.64,1.86,Pampa Energía SA
14,Chemical products,Sulfuric Acid,discharge,9185853,RAINBOW ISLAND 77,San Lorenzo - Argentina,2017-03-21 00:00:00,2017-03-23 22:35:00,T.F.A.,5591.542,Bunge,Spain,2.94,1.89,
15,Chemical products,Sulfuric Acid,discharge,9185853,RAINBOW ISLAND 77,San Lorenzo - Argentina,2017-03-21 00:00:00,2017-03-23 22:35:00,T.F.A.,3591.9,ACA,Spain,2.94,1.89,
16,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-03-23 00:00:00,2017-03-25 23:30:00,Pampa Energia,1889.802,Dow Chemicals,Brazil,2.98,1.99,
17,Chemical products,Caustic Soda,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-03-23 00:00:00,2017-03-27 12:30:00,Nouryon Chemicals Argentina,2038.459,Akzo Nobel,Brazil,4.52,0.69,
18,Chemical products,Nash,load,9416082,SHAMROCK JUPITER,San Lorenzo - Argentina,2017-04-12 21:35:00,2017-04-15 13:40:00,Nouryon Chemicals Argentina,1776.013,Ultragas,Chile,2.67,1.0,Akzo Nobel
19,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-04-20 00:00:00,2017-04-23 00:00:00,Pampa Energia,2475.008,Dow Chemicals,Brazil,3.0,-0.57,
20,Chemical products,Caustic Soda,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-04-20 00:00:00,2017-04-23 00:00:00,Nouryon Chemicals Argentina,2073.892,Akzo Nobel,Brazil,3.0,0.8,
21,Chemical products,Methanol,discharge,9499486,BUNGA LOTUS,San Lorenzo - Argentina,2017-05-06 18:54:00,2017-05-07 16:25:00,Terminal 6-North,4400.0,Evonik,Chile,0.9,0.75,
22,Chemical products,Sulfuric Acid,discharge,9279111,MTM TOKYO,San Lorenzo - Argentina,2017-05-08 19:00:00,2017-05-10 08:06:00,T.F.A.,5225.0,Bunge,Spain,1.55,1.55,
23,Chemical products,Sulfuric Acid,discharge,9279111,MTM TOKYO,San Lorenzo - Argentina,2017-05-08 19:00:00,2017-05-10 08:06:00,T.F.A.,1398.95,ACA,Spain,1.55,1.55,
26,Chemical products,Nash,load,9499486,BUNGA LOTUS,San Lorenzo - Argentina,2017-05-29 00:30:00,2017-06-05 19:30:00,Nouryon Chemicals Argentina,2240.371,Akzo Nobel,Chile,7.79,1.62,Akzo Nobel
27,Chemical products,Methanol,discharge,9477531,SHAMROCK MERCURY,San Lorenzo - Argentina,2017-06-24 17:50:00,2017-06-25 21:50:00,Terminal 6-North,4000.0,Evonik,Chile,1.17,0.75,
28,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-06-27 00:00:00,2017-06-28 19:40:00,Pampa Energia,2201.336,Dow Chemicals,Brazil,1.82,0.88,
29,Chemical products,Sulfuric Acid,discharge,9416032,MTM SOUTHPORT,San Lorenzo - Argentina,2017-07-04 00:00:00,2017-07-05 13:35:00,T.F.A.,3222.036,Bunge,Spain,1.57,1.07,
30,Chemical products,Sulfuric Acid,discharge,9416032,MTM SOUTHPORT,San Lorenzo - Argentina,2017-07-04 00:00:00,2017-07-05 13:35:00,T.F.A.,1074.011,ACA,Spain,1.57,1.07,
31,Chemical products,Nash,load,9408803,CELSIUS MALAGA,San Lorenzo - Argentina,2017-07-14 09:06:00,2017-07-16 10:50:00,Nouryon Chemicals Argentina,1935.588,Akzo Nobel,Chile,2.07,2.03,Akzo Nobel
32,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-07-23 00:00:00,2017-07-25 08:50:00,Pampa Energia,1803.686,Dow Chemicals,Brazil,2.37,0.7,
33,Chemical products,Caustic Soda,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-07-23 00:00:00,2017-07-25 08:50:00,Nouryon Chemicals Argentina,1400.0,Akzo Nobel,Brazil,2.37,0.72,
34,Chemical products,Methanol,discharge,9724063,ALBATROSS TRADER,San Lorenzo - Argentina,2017-08-06 21:03:00,2017-08-08 16:45:00,Terminal 6-North,4400.0,Evonik,Chile,1.82,0.9,
35,Chemical products,Sulfuric Acid,discharge,9712606,MTM SANTOS,San Lorenzo - Argentina,2017-08-14 16:12:00,2017-08-18 03:30:00,T.F.A.,16501.622,Bunge,Sweden,3.47,3.38,
36,Chemical products,Sulfuric Acid,discharge,9712606,MTM SANTOS,San Lorenzo - Argentina,2017-08-14 16:12:00,2017-08-18 03:30:00,T.F.A.,4500.0,ACA,Sweden,3.47,3.38,
37,Chemical products,Caustic Soda,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-08-21 00:00:00,2017-08-24 15:20:16,Nouryon Chemicals Argentina,1434.739,Akzo Nobel,Brazil,3.64,0.68,
38,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-08-21 00:00:00,2017-08-24 15:20:16,Pampa Energia,4010.802,Dow Chemicals,Brazil,3.64,2.64,
39,Chemical products,Nash,load,9724063,ALBATROSS TRADER,San Lorenzo - Argentina,2017-08-28 13:50:00,2017-08-31 22:55:00,Nouryon Chemicals Argentina,2096.139,Akzo Nobel,Chile,3.38,1.94,Akzo Nobel
40,Chemical products,Nash,load,9408803,CELSIUS MALAGA,San Lorenzo - Argentina,2017-09-12 05:45:00,2017-09-16 10:55:00,Nouryon Chemicals Argentina,1429.364,Akzo Nobel,Chile,4.22,0.97,Akzo Nobel
41,Chemical products,Methanol,discharge,9742053,HALCON TRADER,San Lorenzo - Argentina,2017-09-16 05:00:00,2017-09-20 09:20:00,Terminal 6-North,4400.0,Evonik,Chile,4.18,1.72,
42,Chemical products,Caustic Soda,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-09-20 00:00:00,2017-09-24 19:00:00,Nouryon Chemicals Argentina,1518.358,Akzo Nobel,Brazil,4.79,0.81,
43,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-09-20 00:00:00,2017-09-24 19:00:00,Pampa Energia,2407.909,Dow Chemicals,Brazil,4.79,2.39,
44,Chemical products,Sulfuric Acid,discharge,9712591,MTM PENANG,San Lorenzo - Argentina,2017-10-16 21:08:00,2017-10-19 02:00:00,T.F.A.,8449.696,Bunge,Spain,2.2,2.03,
45,Chemical products,Sulfuric Acid,discharge,9712591,MTM PENANG,San Lorenzo - Argentina,2017-10-16 21:08:00,2017-10-19 02:00:00,T.F.A.,1949.999,ACA,Spain,2.2,2.03,
46,Chemical products,Caustic Soda,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-10-27 14:00:00,2017-10-30 11:10:00,Nouryon Chemicals Argentina,1545.55,Akzo Nobel,Brazil,2.88,0.8,
47,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-10-27 14:00:00,2017-10-30 11:10:00,Pampa Energia,1017.999,Dow Chemicals,Brazil,2.88,1.97,
48,Chemical products,Nash,load,9477531,SHAMROCK MERCURY,San Lorenzo - Argentina,2017-11-01 20:50:00,2017-11-06 20:40:00,Nouryon Chemicals Argentina,2000.244,Akzo Nobel,Chile,4.99,0.82,Akzo Nobel
49,Chemical products,Sulfuric Acid,discharge,9798648,FAIRCHEM CONQUEST,San Lorenzo - Argentina,2017-11-17 04:00:00,2017-11-18 21:50:00,T.F.A.,6986.877,Bunge,Spain,1.74,1.63,
50,Chemical products,Sulfuric Acid,discharge,9798648,FAIRCHEM CONQUEST,San Lorenzo - Argentina,2017-11-17 04:00:00,2017-11-18 21:50:00,T.F.A.,1862.292,ACA,Spain,1.74,1.63,
51,Chemical products,PPU,discharge,9367671,MINERVA MEDITERRANEA,San Lorenzo - Argentina,2017-11-24 00:00:00,2017-11-26 18:10:00,Chacabuco,22289.742,YPF,United States,2.76,2.17,
52,Chemical products,Methanol,discharge,9408803,CELSIUS MALAGA,San Lorenzo - Argentina,2017-12-14 00:00:00,2017-12-21 03:05:00,Terminal 6-North,4300.0,Evonik,Chile,7.13,2.05,
53,Chemical products,Nash,load,9408803,CELSIUS MALAGA,San Lorenzo - Argentina,2017-12-14 00:00:00,2017-12-21 03:05:00,Nouryon Chemicals Argentina,2000.0,Akzo Nobel,Chile,7.13,1.12,Akzo Nobel
54,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2017-12-17 00:00:00,2017-12-18 00:00:00,Pampa Energia,2004.13,Dow Chemicals,Brazil,1.0,1.0,
55,Chemical products,Sulfuric Acid,discharge,9367413,ORCHID SYLT,San Lorenzo - Argentina,2017-12-26 02:30:00,2017-12-28 06:45:00,T.F.A.,7461.966,Bunge,Spain,2.18,1.93,
56,Chemical products,Sulfuric Acid,discharge,9367413,ORCHID SYLT,San Lorenzo - Argentina,2017-12-26 02:30:00,2017-12-28 06:45:00,T.F.A.,2485.898,ACA,Spain,2.18,1.93,
57,Chemical products,Caustic Soda,discharge,9271999,MOYRA,San Lorenzo - Argentina,2018-01-05 14:45:00,2018-01-07 09:40:00,Nouryon Chemicals Argentina,1995.103,Akzo Nobel,Brazil,1.79,0.78,
58,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2018-01-05 14:45:00,2018-01-07 09:40:00,Pampa Energia,1002.221,Dow Chemicals,Brazil,1.79,0.72,
60,Chemical products,Nash,load,9493145,GOLDENGATE PARK,San Lorenzo - Argentina,2018-01-15 21:48:00,2018-01-29 09:15:00,Nouryon Chemicals Argentina,1803.618,Akzo Nobel,Chile,13.48,0.93,Akzo Nobel
62,Chemical products,Nash,load,9423645,SONGA BREEZE,San Lorenzo - Argentina,2018-02-23 14:30:00,2018-02-25 11:17:00,Nouryon Chemicals Argentina,1934.89,Akzo Nobel,Chile,1.87,1.01,Akzo Nobel
63,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2018-02-27 00:00:00,2018-02-28 00:00:00,Pampa Energia,2127.237,Dow Chemicals,Brazil,1.0,1.0,
64,Chemical products,Sulfuric Acid,discharge,9304344,FAIRCHEM COLT,San Lorenzo - Argentina,2018-03-04 13:10:56,2018-03-06 14:06:00,T.F.A.,2875.549,Bunge,Spain,2.04,1.11,
65,Chemical products,Sulfuric Acid,discharge,9304344,FAIRCHEM COLT,San Lorenzo - Argentina,2018-03-04 13:10:56,2018-03-06 14:06:00,T.F.A.,958.516,ACA,Spain,2.04,1.11,
66,Chemical products,Methanol,discharge,9724063,ALBATROSS TRADER,San Lorenzo - Argentina,2018-03-05 21:36:00,2018-03-08 17:30:00,Terminal 6-North,4400.0,Methanex,Chile,2.83,0.96,
67,Chemical products,Methanol,discharge,9724063,ALBATROSS TRADER,San Lorenzo - Argentina,2018-03-05 21:36:00,2018-03-08 17:30:00,Arauco,1248.159,Methanex,Chile,2.83,1.08,
68,Chemical products,Butane,load,9324734,CAMBRIDGE,San Lorenzo - Argentina,2018-03-14 18:06:00,2018-03-20 20:30:00,Chacabuco,6594.188,Glencore,Ghana,6.1,4.88,
69,Chemical products,Nash,load,9742077,CONDOR TRADER,San Lorenzo - Argentina,2018-03-24 03:54:00,2018-03-29 13:20:00,Nouryon Chemicals Argentina,1540.364,Akzo Nobel,Chile,5.39,0.99,Akzo Nobel
70,Chemical products,Caustic Soda,discharge,9271999,MOYRA,San Lorenzo - Argentina,2018-03-27 00:00:00,2018-03-31 00:00:00,Nouryon Chemicals Argentina,2001.825,Akzo Nobel,Brazil,4.0,0.74,
71,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2018-03-27 00:00:00,2018-03-31 00:00:00,Pampa Energia,2404.037,Dow Chemicals,Brazil,4.0,1.0,
72,Chemical products,Nash,load,9416082,SHAMROCK JUPITER,San Lorenzo - Argentina,2018-04-21 06:50:00,2018-04-28 12:05:00,Nouryon Chemicals Argentina,1814.372,Akzo Nobel,Chile,7.22,0.81,Akzo Nobel
73,Chemical products,Oxypropilene,discharge,9125267,BOW QUERIDA,San Lorenzo - Argentina,2018-04-19 12:48:09,2018-04-22 13:05:00,Pampa Energia,1003.825,Dow Chemicals,Brazil,3.01,2.8,
74,Chemical products,Styrene,load,9125267,BOW QUERIDA,San Lorenzo - Argentina,2018-04-19 12:48:09,2018-04-22 13:05:00,Pampa Energia,3490.34,Pampa Energía SA,Brazil,3.01,2.8,Pampa Energía SA
76,Chemical products,Nash,load,9640097,LINCOLN PARK,San Lorenzo - Argentina,2018-05-10 10:30:00,2018-05-19 21:20:00,Nouryon Chemicals Argentina,1287.847,Akzo Nobel,Chile,9.45,0.86,Akzo Nobel
77,Chemical products,Sulfuric Acid,discharge,9776456,MTM KOBE,San Lorenzo - Argentina,2018-05-18 17:24:00,2018-05-20 11:45:00,T.F.A.,6367.726,Bunge,Japan,1.76,1.69,
78,Chemical products,Sulfuric Acid,discharge,9776456,MTM KOBE,San Lorenzo - Argentina,2018-05-18 17:24:00,2018-05-20 11:45:00,T.F.A.,3631.807,ACA,Japan,1.76,1.69,
79,Chemical products,Butane,load,9262948,MATHRAKI,San Lorenzo - Argentina,2018-06-06 02:10:00,2018-06-09 01:10:00,Chacabuco,5250.904,Vitol,Togo,2.96,2.36,YPF
80,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2018-06-18 14:20:00,2018-06-20 17:50:00,Pampa Energia,2604.358,Dow Chemicals,Brazil,2.15,2.15,
82,Chemical products,Nash,load,9742077,CONDOR TRADER,San Lorenzo - Argentina,2018-06-25 12:06:00,2018-07-01 12:00:00,Nouryon Chemicals Argentina,1875.741,Akzo Nobel,Chile,6.0,1.06,Akzo Nobel
83,Chemical products,Sulfuric Acid,discharge,9508160,CHEMROUTE SKY,San Lorenzo - Argentina,2018-07-15 05:30:00,2018-07-16 16:20:00,T.F.A.,4799.045,Bunge,Spain,1.45,1.33,
84,Chemical products,Sulfuric Acid,discharge,9508160,CHEMROUTE SKY,San Lorenzo - Argentina,2018-07-15 05:30:00,2018-07-16 16:20:00,T.F.A.,1999.681,ACA,Spain,1.45,1.33,
85,Chemical products,Nash,load,9255983,BATTERSEA PARK,San Lorenzo - Argentina,2018-07-19 09:40:00,2018-07-22 09:30:00,Nouryon Chemicals Argentina,1471.533,Akzo Nobel,Chile,2.99,0.91,Akzo Nobel
86,Chemical products,Styrene,load,9271999,MOYRA,San Lorenzo - Argentina,2018-07-21 00:00:00,2018-07-25 11:55:00,Pampa Energia,4191.439,Petrobras,Brazil,4.5,3.51,Pampa Energía SA
87,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2018-07-21 00:00:00,2018-07-25 11:55:00,Pampa Energia,2.404,Dow Chemicals,Brazil,4.5,3.51,
88,Chemical products,Methanol,discharge,9416082,SHAMROCK JUPITER,San Lorenzo - Argentina,2018-07-26 14:05:00,2018-07-27 22:20:00,Arauco,4009.245,YPF,Chile,1.34,1.26,
89,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2018-08-19 00:00:00,2018-08-21 13:40:00,Pampa Energia,1813.173,Dow Chemicals,Brazil,2.57,1.02,
91,Chemical products,Nash,load,9408803,CELSIUS MALAGA,San Lorenzo - Argentina,2018-09-19 17:42:00,2018-09-22 16:10:00,Nouryon Chemicals Argentina,1509.14,Akzo Nobel,Chile,2.94,0.92,Akzo Nobel
92,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2018-09-18 00:00:00,2018-09-21 22:55:00,Pampa Energia,1.861,Dow Chemicals,Brazil,3.95,0.78,
93,Chemical products,Nash,load,9244984,CELSIUS MANILA,San Lorenzo - Argentina,2018-09-29 18:24:00,2018-10-07 03:00:00,Nouryon Chemicals Argentina,1539.336,Akzo Nobel,Chile,7.36,2.14,Akzo Nobel
94,Chemical products,Nash,load,9416020,BARBOUNI,San Lorenzo - Argentina,2018-10-19 07:36:00,2018-10-21 00:30:00,Nouryon Chemicals Argentina,1376.404,Akzo Nobel,Chile,1.7,0.86,Akzo Nobel
95,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2018-10-28 19:50:00,2018-10-29 13:40:00,Pampa Energia,802.835,Dow Chemicals,Brazil,0.74,0.74,
96,Chemical products,Nash,load,9255983,BATTERSEA PARK,San Lorenzo - Argentina,2018-11-09 18:00:00,2018-11-12 22:50:00,Nouryon Chemicals Argentina,1476.073,Akzo Nobel,Chile,3.2,1.19,Akzo Nobel
97,Chemical products,Oxypropilene,discharge,9271999,MOYRA,San Lorenzo - Argentina,2018-11-15 17:15:00,2018-11-16 13:00:00,Pampa Energia,1802.627,Dow Chemicals,Brazil,0.82,0.82,
98,Chemical products,Sulfuric Acid,discharge,9236054,CHEMBULK GIBRALTAR,San Lorenzo - Argentina,2018-12-03 01:30:00,2018-12-06 20:00:00,T.F.A.,7600.0,Bunge,Finland,3.77,2.22,
99,Chemical products,Sulfuric Acid,discharge,9236054,CHEMBULK GIBRALTAR,San Lorenzo - Argentina,2018-12-03 01:30:00,2018-12-06 20:00:00,T.F.A.,2753.24,ACA,Finland,3.77,2.22,
100,Chemical products,Sulfuric Acid,discharge,9758026,CHEMSTAR RIVER,San Lorenzo - Argentina,2018-12-10 23:54:00,2018-12-14 15:00:00,T.F.A.,5174.938,Bunge,Spain,3.63,1.54,
101,Chemical products,Sulfuric Acid,discharge,9758026,CHEMSTAR RIVER,San Lorenzo - Argentina,2018-12-10 23:54:00,2018-12-14 15:00:00,T.F.A.,2724.979,ACA,Spain,3.63,1.54,
103,Chemical products,Chemical Products,discharge,9400394,BOW TONE,San Nicolas - Argentina,2017-08-15 13:38:18,2017-08-16 16:54:00,Grain Elevator,1300.521,Pamsa,Belgium,1.14,0.54,
104,Chemical products,Ammonium,discharge,9363273,IONIAN SPIRE,San Nicolas - Argentina,2017-09-08 00:00:00,2017-09-16 00:00:00,New Port - South,1420.0,Nidera,China,8.0,5.0,
105,Chemical products,Ammonium,discharge,9363273,IONIAN SPIRE,San Nicolas - Argentina,2017-09-08 00:00:00,2017-09-16 00:00:00,New Port - South,550.0,Dreyfus,China,8.0,5.0,
106,Chemical products,Ammonium,discharge,9363273,IONIAN SPIRE,San Nicolas - Argentina,2017-09-08 00:00:00,2017-09-16 00:00:00,New Port - South,3850.0,Agrefert,China,8.0,5.0,
107,Chemical products,Ammonium,discharge,9363273,IONIAN SPIRE,San Nicolas - Argentina,2017-09-08 00:00:00,2017-09-16 00:00:00,New Port - South,330.0,Compo Expert,China,8.0,5.0,
108,Chemical products,Sulfuric Acid,discharge,9279111,MTM TOKYO,Ramallo - Argentina,2017-01-23 20:05:00,2017-01-26 13:10:00,Bunge Fertilizers,8955.0,Bunge,Spain,2.71,2.56,
109,Chemical products,Sulfuric Acid,discharge,9279111,MTM TOKYO,Ramallo - Argentina,2017-01-23 20:05:00,2017-01-26 13:10:00,Bunge Fertilizers,3045.0,ACA,Spain,2.71,2.56,
110,Chemical products,Sulfuric Acid,discharge,9185853,RAINBOW ISLAND 77,Ramallo - Argentina,2017-03-24 05:30:00,2017-03-26 09:30:00,Bunge Fertilizers,9758.1,Bunge,Spain,2.17,2.08,
111,Chemical products,Sulfuric Acid,discharge,9185853,RAINBOW ISLAND 77,Ramallo - Argentina,2017-03-24 05:30:00,2017-03-26 09:30:00,Bunge Fertilizers,562.709,ACA,Spain,2.17,2.08,
112,Chemical products,Sulfuric Acid,discharge,9416032,MTM SOUTHPORT,Ramallo - Argentina,2017-06-30 00:00:00,2017-07-04 03:15:00,Bunge Fertilizers,11713.0,Bunge,Spain,4.14,3.13,
113,Chemical products,Sulfuric Acid,discharge,9416032,MTM SOUTHPORT,Ramallo - Argentina,2017-06-30 00:00:00,2017-07-04 03:15:00,Bunge Fertilizers,3100.0,ACA,Spain,4.14,3.13,
114,Chemical products,Sulfuric Acid,discharge,9712591,MTM PENANG,Ramallo - Argentina,2017-10-14 09:30:00,2017-10-16 14:00:00,Bunge Fertilizers,7000.0,Bunge,Spain,2.19,2.06,
115,Chemical products,Sulfuric Acid,discharge,9712591,MTM PENANG,Ramallo - Argentina,2017-10-14 09:30:00,2017-10-16 14:00:00,Bunge Fertilizers,2400.0,ACA,Spain,2.19,2.06,
116,Chemical products,Sulfuric Acid,discharge,9798648,FAIRCHEM CONQUEST,Ramallo - Argentina,2017-11-19 00:00:00,2017-11-27 06:40:00,Bunge Fertilizers,10600.0,Bunge + ACA,Spain,8.28,2.54,
117,Chemical products,Sulfuric Acid,discharge,9367413,ORCHID SYLT,Ramallo - Argentina,2017-12-28 12:36:00,2018-01-04 14:00:00,Bunge Fertilizers,8000.0,Bunge,Spain,7.06,2.05,
118,Chemical products,Sulfuric Acid,discharge,9367413,ORCHID SYLT,Ramallo - Argentina,2017-12-28 12:36:00,2018-01-04 14:00:00,Bunge Fertilizers,2000.0,ACA,Spain,7.06,2.05,
119,Chemical products,Sulfuric Acid,discharge,9304344,FAIRCHEM COLT,Ramallo - Argentina,2018-03-01 00:00:00,2018-03-05 03:10:00,Bunge Fertilizers,11122.0,Bunge,Morocco,4.13,3.38,
120,Chemical products,Sulfuric Acid,discharge,9304344,FAIRCHEM COLT,Ramallo - Argentina,2018-03-01 00:00:00,2018-03-05 03:10:00,Bunge Fertilizers,3753.0,ACA,Morocco,4.13,3.38,
121,Chemical products,Sulfuric Acid,discharge,9776456,MTM KOBE,Ramallo - Argentina,2018-05-15 14:44:01,2018-05-18 11:24:00,Bunge Fertilizers,8400.0,Bunge,Japan,2.86,2.48,
122,Chemical products,Sulfuric Acid,discharge,9776456,MTM KOBE,Ramallo - Argentina,2018-05-15 14:44:01,2018-05-18 11:24:00,Bunge Fertilizers,1400.0,ACA,Japan,2.86,2.48,
123,Chemical products,Sulfuric Acid,discharge,9508160,CHEMROUTE SKY,Ramallo - Argentina,2018-07-11 15:35:19,2018-07-14 23:55:00,Bunge Fertilizers,2200.0,ACA,Spain,3.35,4.0,
124,Chemical products,Sulfuric Acid,discharge,9508160,CHEMROUTE SKY,Ramallo - Argentina,2018-07-11 15:35:19,2018-07-14 23:55:00,Bunge Fertilizers,10800.0,Bunge,Spain,3.35,4.0,
125,Chemical products,Sulfuric Acid,discharge,9102928,BOW ATLANTIC,Ramallo - Argentina,2018-09-20 01:30:00,2018-09-23 16:20:00,Bunge Fertilizers,8800.0,Bunge,Spain,3.62,3.31,
126,Chemical products,Sulfuric Acid,discharge,9102928,BOW ATLANTIC,Ramallo - Argentina,2018-09-20 01:30:00,2018-09-23 16:20:00,Bunge Fertilizers,2199.0,ACA,Spain,3.62,3.31,
127,Chemical products,Sulfuric Acid,discharge,9827463,CHEMSTAR IRIS,Ramallo - Argentina,2018-09-23 13:50:00,2018-09-29 03:20:00,Bunge Fertilizers,7559.53,Bunge,Spain,5.56,2.58,
128,Chemical products,Sulfuric Acid,discharge,9827463,CHEMSTAR IRIS,Ramallo - Argentina,2018-09-23 13:50:00,2018-09-29 03:20:00,Bunge Fertilizers,1889.88,ACA,Spain,5.56,2.58,
129,Chemical products,Sulfuric Acid,discharge,9236054,CHEMBULK GIBRALTAR,Ramallo - Argentina,2018-11-30 00:00:00,2018-12-02 18:35:00,Bunge Fertilizers,8409.72,Bunge,Finland,2.77,2.77,
130,Chemical products,Sulfuric Acid,discharge,9758026,CHEMSTAR RIVER,Ramallo - Argentina,2018-12-08 00:00:00,2018-12-10 17:00:00,Bunge Fertilizers,9600.0,Bunge,Spain,2.71,2.71,
131,Chemical products,Sulfuric Acid,discharge,9758026,CHEMSTAR RIVER,Ramallo - Argentina,2018-12-08 00:00:00,2018-12-10 17:00:00,Bunge Fertilizers,1400.0,ACA,Spain,2.71,2.71,
133,Chemical products,Ammonium,discharge,9612325,NORD SHANGHAI,Lima - Argentina,2017-03-15 00:00:00,2017-03-22 00:00:00,Cofco Int. Lima (Site B),8000.0,Bunge + ACA,Estonia,7.0,7.0,
138,Chemical products,Soda Ash,discharge,9740093,OCEAN APPLAUD,Campana - Argentina,2017-12-09 00:00:00,2017-12-12 04:33:00,Maripasa,13000.0,Various,South Africa,3.19,3.01,
139,Chemical products,Soda Ash,discharge,9374349,HTK DISCOVERY,Campana - Argentina,2018-05-04 00:00:00,2018-05-09 04:03:00,Euroamerica,14500.0,Various,Spain,5.17,4.41,
141,Chemical products,Soda Ash,discharge,9008706,ARACARI ARROW,Campana - Argentina,2018-10-20 00:00:00,2018-10-24 17:15:00,Maripasa,11200.0,Various,Spain,4.72,4.3,
143,VegOil,Sbo,load,9258595,BLUE ONYX,San Lorenzo - Argentina,2016-12-29 00:00:00,2017-01-04 15:45:00,Renova-South,1000.0,Dreyfus,India,6.66,0.73,O.Moreno
144,VegOil,Sbo,load,9258595,BLUE ONYX,San Lorenzo - Argentina,2016-12-29 00:00:00,2017-01-04 15:45:00,Renova-South,6000.0,Dreyfus,India,6.66,0.73,Vicentin
145,VegOil,Sbo,load,9258595,BLUE ONYX,San Lorenzo - Argentina,2016-12-29 00:00:00,2017-01-04 15:45:00,Renova-South,1000.0,Dreyfus,Bangladesh,6.66,0.73,Vicentin
146,VegOil,Sbo,load,9258595,BLUE ONYX,San Lorenzo - Argentina,2016-12-29 00:00:00,2017-01-04 15:45:00,Renova-South,6000.0,Dreyfus,Bangladesh,6.66,0.73,O.Moreno
147,VegOil,Sbo,load,9342786,AMIAS,San Lorenzo - Argentina,2017-01-01 00:00:00,2017-01-06 04:10:00,Nouryon Chemicals Argentina,2000.0,Cargill,Guatemala,5.17,1.77,Vicentin
148,VegOil,Sfo,load,9342786,AMIAS,San Lorenzo - Argentina,2017-01-01 00:00:00,2017-01-06 04:10:00,Nouryon Chemicals Argentina,4960.0,Cargill,Guatemala,5.17,1.77,Vicentin
149,VegOil,Sbo,load,9342786,AMIAS,San Lorenzo - Argentina,2017-01-01 00:00:00,2017-01-06 04:10:00,Nouryon Chemicals Argentina,3000.0,Cargill,Venezuela,5.17,1.77,Vicentin
