,Rank,Club,PJ,G,E,P,GF,GC,DG,Pts,Ultimos5_1,Ultimos5_2,Ultimos5_3,Ultimos5_4,Ultimos5_5
0,1,Manchester City,38,29,6,3,99,26,73,93,Ganó,Ganó,Ganó,Empate,Ganó
1,2,Liverpool,38,28,8,2,94,26,68,92,Ganó,Empate,Ganó,Ganó,Ganó
2,3,Chelsea,38,21,11,6,76,33,43,74,Perdió,Empate,Ganó,Empate,Ganó
3,4,Tottenham,38,22,5,11,69,40,29,71,Ganó,Empate,Ganó,Ganó,Ganó
4,5,Arsenal,38,22,3,13,61,48,13,69,Ganó,Ganó,Perdió,Perdió,Ganó
5,6,Manchester United,38,16,10,12,57,57,0,58,Perdió,Empate,Ganó,Perdió,Perdió
6,7,West Ham,38,16,8,14,60,51,9,56,Perdió,Perdió,Ganó,Empate,Perdió
7,8,Leicester City,38,14,10,14,62,59,3,52,Perdió,Ganó,Ganó,Empate,Ganó
8,9,Brighton,38,12,15,11,42,44,-2,51,Empate,Ganó,Ganó,Empate,Ganó
9,10,Wolves,38,15,6,17,38,43,-5,51,Perdió,Empate,Perdió,Empate,Perdió
10,11,Newcastle,38,13,10,15,44,62,-18,49,Ganó,Perdió,Perdió,Ganó,Ganó
11,12,Crystal Palace,38,11,15,12,50,46,4,48,Ganó,Ganó,Empate,Perdió,Ganó
12,13,Brentford,38,13,7,18,48,56,-8,46,Empate,Perdió,Ganó,Ganó,Perdió
13,14,Aston Villa,38,13,6,19,52,54,-2,45,Ganó,Perdió,Empate,Empate,Perdió
14,15,Southampton,38,9,13,16,43,67,-24,40,Empate,Perdió,Perdió,Perdió,Perdió
15,16,Everton,38,11,6,21,43,66,-23,39,Ganó,Empate,Perdió,Ganó,Perdió
16,17,Leeds,38,9,11,18,42,79,-37,38,Perdió,Perdió,Perdió,Empate,Ganó
17,18,Burnley,38,7,14,17,34,53,-19,35,Ganó,Perdió,Perdió,Empate,Perdió
18,19,Watford,38,6,5,27,34,77,-43,23,Perdió,Perdió,Empate,Perdió,Perdió
19,20,Norwich,38,5,7,26,23,84,-61,22,Perdió,Perdió,Perdió,Empate,Perdió
