,Rank,Club,PJ,G,E,P,GF,GC,DG,Pts,Ultimos5_1,Ultimos5_2,Ultimos5_3,Ultimos5_4,Ultimos5_5
0,1,Manchester City,38,32,2,4,95,23,72,98,Ganó,Ganó,Ganó,Ganó,Ganó
1,2,Liverpool,38,30,7,1,89,22,67,97,Ganó,Ganó,Ganó,Ganó,Ganó
2,3,Chelsea,38,21,9,8,63,39,24,72,Perdió,Empate,Empate,Ganó,Empate
3,4,Tottenham,38,23,2,13,67,39,28,71,Perdió,Ganó,Perdió,Perdió,Empate
4,5,Arsenal,38,21,7,10,73,51,22,70,Perdió,Perdió,Perdió,Empate,Ganó
5,6,Manchester United,38,19,9,10,65,54,11,66,Perdió,Perdió,Empate,Empate,Perdió
6,7,Wolves,38,16,9,13,47,46,1,57,Empate,Ganó,Ganó,Ganó,Perdió
7,8,Everton,38,15,9,14,54,46,8,54,Perdió,Ganó,Empate,Ganó,Empate
8,9,Leicester City,38,15,7,16,51,48,3,52,Perdió,Empate,Ganó,Perdió,Empate
9,10,West Ham,38,15,7,16,52,55,-3,52,Perdió,Empate,Ganó,Ganó,Ganó
10,11,Watford,38,14,8,16,52,59,-7,50,Ganó,Empate,Perdió,Perdió,Perdió
11,12,Crystal Palace,38,14,7,17,51,53,-2,49,Perdió,Ganó,Empate,Ganó,Ganó
12,13,Newcastle,38,12,9,17,42,48,-6,45,Ganó,Ganó,Empate,Perdió,Ganó
13,14,Bournemouth,38,13,6,19,56,70,-14,45,Ganó,Perdió,Empate,Ganó,Perdió
14,15,Burnley,38,11,7,20,45,68,-23,40,Ganó,Empate,Perdió,Perdió,Perdió
15,16,Southampton,38,9,12,17,45,65,-20,39,Perdió,Empate,Empate,Perdió,Empate
16,17,Brighton,38,9,9,20,35,60,-25,36,Empate,Perdió,Empate,Empate,Perdió
17,18,Cardiff,38,10,4,24,34,69,-35,34,Ganó,Perdió,Perdió,Perdió,Ganó
18,19,Fulham,38,7,5,26,34,81,-47,26,Ganó,Ganó,Ganó,Perdió,Perdió
19,20,Huddersfield Town,38,3,7,28,22,76,-54,16,Perdió,Perdió,Perdió,Empate,Empate
