,Rank,Club,PJ,G,E,P,GF,GC,DG,Pts,Ultimos5_1,Ultimos5_2,Ultimos5_3,Ultimos5_4,Ultimos5_5
0,1,Manchester City,38,27,5,6,83,32,51,86,Ganó,Perdió,Ganó,Perdió,Ganó
1,2,Manchester United,38,21,11,6,73,44,29,74,Ganó,Perdió,Perdió,Empate,Ganó
2,3,Liverpool,38,20,9,9,68,42,26,69,Ganó,Ganó,Ganó,Ganó,Ganó
3,4,Chelsea,38,19,10,9,58,36,22,67,Ganó,Ganó,Perdió,Ganó,Perdió
4,5,Leicester City,38,20,6,12,68,50,18,66,Empate,Perdió,Ganó,Perdió,Perdió
5,6,West Ham,38,19,8,11,62,47,15,65,Ganó,Perdió,Empate,Ganó,Ganó
6,7,Tottenham,38,18,8,12,68,45,23,62,Ganó,Perdió,Ganó,Perdió,Ganó
7,8,Arsenal,38,18,7,13,55,39,16,61,Ganó,Ganó,Ganó,Ganó,Ganó
8,9,Leeds,38,18,5,15,62,54,8,59,Perdió,Ganó,Ganó,Ganó,Ganó
9,10,Everton,38,17,8,13,47,48,-1,59,Ganó,Empate,Perdió,Ganó,Perdió
10,11,Aston Villa,38,16,7,15,55,46,9,55,Perdió,Empate,Perdió,Ganó,Ganó
11,12,Newcastle,38,12,9,17,46,62,-16,45,Perdió,Ganó,Perdió,Ganó,Ganó
12,13,Wolves,38,12,9,17,36,52,-16,45,Empate,Ganó,Perdió,Perdió,Perdió
13,14,Crystal Palace,38,12,8,18,41,66,-25,44,Ganó,Perdió,Ganó,Perdió,Perdió
14,15,Southampton,38,12,7,19,47,68,-21,43,Perdió,Ganó,Ganó,Perdió,Perdió
15,16,Brighton,38,9,14,15,40,46,-6,41,Ganó,Perdió,Empate,Ganó,Perdió
16,17,Burnley,38,10,9,19,33,55,-22,39,Perdió,Ganó,Perdió,Perdió,Perdió
17,18,Fulham,38,5,13,20,27,53,-26,28,Perdió,Perdió,Perdió,Empate,Perdió
18,19,Albion,38,5,11,22,35,76,-41,26,Empate,Perdió,Perdió,Perdió,Perdió
19,20,Sheffield United,38,7,2,29,20,63,-43,23,Perdió,Perdió,Ganó,Perdió,Ganó
