,Rank,Club,PJ,G,E,P,GF,GC,DG,Pts,Ultimos5_1,Ultimos5_2,Ultimos5_3,Ultimos5_4,Ultimos5_5
0,1,Leicester City,38,23,12,3,68,36,32,81,Empate,Ganó,Empate,Ganó,Empate
1,2,Arsenal,38,20,11,7,65,36,29,71,Ganó,Empate,Ganó,Empate,Ganó
2,3,Tottenham,38,19,13,6,69,35,34,70,Ganó,Empate,Empate,Perdió,Perdió
3,4,Manchester City,38,19,9,10,71,41,30,66,Empate,Ganó,Perdió,Empate,Empate
4,5,Manchester United,38,19,9,10,49,35,14,66,Ganó,Empate,Ganó,Perdió,Ganó
5,6,Southampton,38,18,9,11,59,41,18,63,Empate,Ganó,Ganó,Ganó,Ganó
6,7,West Ham,38,16,14,8,65,51,14,62,Ganó,Ganó,Perdió,Ganó,Perdió
7,8,Liverpool,38,16,12,10,63,50,13,60,Empate,Perdió,Ganó,Empate,Empate
8,9,Stoke City,38,14,9,15,41,55,-14,51,Perdió,Perdió,Empate,Perdió,Ganó
9,10,Chelsea,38,12,14,12,59,53,6,50,Ganó,Empate,Perdió,Empate,Empate
10,11,Everton,38,11,14,13,59,55,4,47,Perdió,Ganó,Perdió,Perdió,Ganó
11,12,Swansea,38,12,11,15,42,52,-10,47,Perdió,Perdió,Ganó,Ganó,Empate
12,13,Watford,38,12,9,17,40,50,-10,45,Perdió,Ganó,Perdió,Perdió,Empate
13,14,Albion,38,10,13,15,34,48,-14,43,Perdió,Empate,Perdió,Empate,Empate
14,15,Crystal Palace,38,11,9,18,39,51,-12,42,Empate,Perdió,Perdió,Ganó,Perdió
15,16,Bournemouth,38,11,9,18,45,67,-22,42,Perdió,Perdió,Perdió,Empate,Perdió
16,17,Sunderland AFC,38,9,12,17,48,62,-14,39,Empate,Empate,Ganó,Ganó,Empate
17,18,Newcastle,38,9,10,19,44,65,-21,37,Empate,Empate,Ganó,Empate,Ganó
18,19,Norwich,38,9,7,22,39,67,-28,34,Perdió,Perdió,Perdió,Ganó,Perdió
19,20,Aston Villa,38,3,8,27,27,76,-49,17,Perdió,Perdió,Perdió,Empate,Perdió
