,Rank,Club,PJ,G,E,P,GF,GC,DG,Pts,Ultimos5_1,Ultimos5_2,Ultimos5_3,Ultimos5_4,Ultimos5_5
0,1,Chelsea,38,26,9,3,73,32,41,87,Ganó,Ganó,Empate,Perdió,Ganó
1,2,Manchester City,38,24,7,7,83,38,45,79,Ganó,Ganó,Ganó,Ganó,Ganó
2,3,Arsenal,38,22,9,7,71,36,35,75,Ganó,Perdió,Empate,Empate,Ganó
3,4,Manchester United,38,20,10,8,62,37,25,70,Perdió,Perdió,Ganó,Empate,Empate
4,5,Tottenham,38,19,7,12,58,53,5,64,Empate,Perdió,Perdió,Ganó,Ganó
5,6,Liverpool,38,18,8,12,52,48,4,62,Perdió,Ganó,Empate,Perdió,Perdió
6,7,Southampton,38,18,6,14,54,33,21,60,Empate,Perdió,Perdió,Ganó,Perdió
7,8,Swansea,38,16,8,14,46,49,-3,56,Ganó,Ganó,Ganó,Perdió,Perdió
8,9,Stoke City,38,15,9,14,48,45,3,54,Empate,Perdió,Ganó,Empate,Ganó
9,10,Crystal Palace,38,13,9,16,47,51,-4,48,Perdió,Perdió,Perdió,Ganó,Ganó
10,11,Everton,38,12,11,15,48,50,-2,47,Ganó,Perdió,Perdió,Ganó,Perdió
11,12,West Ham,38,12,11,15,44,47,-3,47,Empate,Ganó,Perdió,Perdió,Perdió
12,13,Albion,38,11,11,16,38,51,-13,44,Empate,Ganó,Empate,Ganó,Perdió
13,14,Leicester City,38,11,8,19,46,55,-9,41,Perdió,Ganó,Ganó,Empate,Ganó
14,15,Newcastle,38,10,9,19,40,63,-23,39,Perdió,Perdió,Empate,Perdió,Ganó
15,16,Sunderland AFC,38,7,17,14,31,53,-22,38,Ganó,Ganó,Empate,Empate,Perdió
16,17,Aston Villa,38,10,8,20,31,57,-26,38,Perdió,Ganó,Ganó,Perdió,Perdió
17,18,Hull City,38,8,11,19,33,51,-18,35,Ganó,Perdió,Perdió,Perdió,Empate
18,19,Burnley,38,7,12,19,28,53,-25,33,Perdió,Perdió,Ganó,Empate,Ganó
19,20,QPR,38,8,6,24,42,73,-31,30,Empate,Perdió,Perdió,Ganó,Perdió
